Team,GP,TOI/GP,W,L,OTL,ROW,Points,Point %,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,SCSF/60,SCSA/60,SCSF%,SCGF/60,SCGA/60,SCGF%,SCSH%,SCSV%,HDCF/60,HDCA/60,HDCF%,HDSF/60,HDSA/60,HDSF%,HDGF/60,HDGA/60,HDGF%,HDSH%,HDSV%,MDCF/60,MDCA/60,MDCF%,MDSF/60,MDSA/60,MDSF%,MDGF/60,MDGA/60,MDGF%,MDSH%,MDSV%,LDCF/60,LDCA/60,LDCF%,LDSF/60,LDSA/60,LDSF%,LDGF/60,LDGA/60,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Date
Nashville Predators,1,44:02,0,1,0,0,0,0.0,65.4,59.95,52.17,44.97,47.69,48.53,31.34,31.34,50.0,2.73,2.73,50.0,4.09,3.09,57.0,34.07,25.89,56.82,19.08,10.9,63.64,2.73,1.36,66.67,14.29,87.5,14.99,6.81,68.75,12.26,5.45,69.23,2.73,0.0,100.0,22.22,100.0,19.08,19.08,50.0,6.81,5.45,55.56,0.0,1.36,0.0,0.0,75.0,31.34,44.97,41.07,12.26,20.44,37.5,0.0,1.36,0.00,0.0,93.33,8.7,91.3,1.0,2023-10-10
Tampa Bay Lightning,1,44:02,1,0,0,1,2,1.0,59.95,65.4,47.83,47.69,44.97,51.47,31.34,31.34,50.0,2.73,2.73,50.0,3.09,4.09,43.0,25.89,34.07,43.18,10.9,19.08,36.36,1.36,2.73,33.33,12.5,85.71,6.81,14.99,31.25,5.45,12.26,30.77,0.0,2.73,0.0,0.0,77.78,19.08,19.08,50.0,5.45,6.81,44.44,1.36,0.0,100.0,25.0,100.0,44.97,31.34,58.93,20.44,12.26,62.5,1.36,0.0,100.00,6.67,100.0,8.7,91.3,1.0,2023-10-10
Chicago Blackhawks,1,48:00,1,0,0,1,2,1.0,70.0,78.75,47.06,53.75,61.25,46.74,37.5,46.25,44.78,5.0,2.5,66.67,4.89,3.39,59.09,35.0,27.5,56.0,22.5,21.25,51.43,5.0,1.25,80.0,22.22,94.12,13.75,12.5,52.38,10.0,11.25,47.06,3.75,1.25,75.0,37.5,88.89,21.25,15.0,58.62,12.5,10.0,55.56,1.25,0.0,100.0,10.0,100.0,32.5,53.75,37.68,13.75,20.0,40.74,0.0,1.25,0.00,0.0,93.75,13.33,94.59,1.079,2023-10-10
Pittsburgh Penguins,1,48:00,0,1,0,0,0,0.0,78.75,70.0,52.94,61.25,53.75,53.26,46.25,37.5,55.22,2.5,5.0,33.33,3.39,4.89,40.91,27.5,35.0,44.0,21.25,22.5,48.57,1.25,5.0,20.0,5.88,77.78,12.5,13.75,47.62,11.25,10.0,52.94,1.25,3.75,25.0,11.11,62.5,15.0,21.25,41.38,10.0,12.5,44.44,0.0,1.25,0.0,0.0,90.0,53.75,32.5,62.32,20.0,13.75,59.26,1.25,0.0,100.00,6.25,100.0,5.41,86.67,0.921,2023-10-10
Seattle Kraken,1,41:00,0,1,0,0,0,0.0,74.63,64.39,53.68,48.29,46.83,50.77,33.66,36.59,47.92,1.46,5.85,20.0,3.81,4.26,47.25,43.9,30.73,58.82,20.49,21.95,48.28,1.46,4.39,25.0,7.14,80.0,16.1,19.02,45.83,11.71,14.63,44.44,1.46,2.93,33.33,12.5,80.0,27.8,11.71,70.37,8.78,7.32,54.55,0.0,1.46,0.0,0.0,80.0,33.66,35.12,48.94,11.71,13.17,47.06,0.0,0.0,-,0.0,100.0,4.35,84.0,0.883,2023-10-10
Vegas Golden Knights,1,41:00,1,0,0,1,2,1.0,64.39,74.63,46.32,46.83,48.29,49.23,36.59,33.66,52.08,5.85,1.46,80.0,4.26,3.81,52.75,30.73,43.9,41.18,21.95,20.49,51.72,4.39,1.46,75.0,20.0,92.86,19.02,16.1,54.17,14.63,11.71,55.56,2.93,1.46,66.67,20.0,87.5,11.71,27.8,29.63,7.32,8.78,45.45,1.46,0.0,100.0,20.0,100.0,35.12,33.66,51.06,13.17,11.71,52.94,0.0,0.0,-,0.0,100.0,16.0,95.65,1.117,2023-10-10
Ottawa Senators,1,40:57,0,1,0,0,0,0.0,54.21,89.38,37.76,45.42,71.79,38.75,27.84,49.82,35.85,2.93,4.4,40.0,2.68,3.99,40.22,26.37,41.03,39.13,14.65,24.91,37.04,2.93,1.47,66.67,20.0,94.12,10.26,14.65,41.18,4.4,11.72,27.27,1.47,1.47,50.0,33.33,87.5,16.12,26.37,37.93,10.26,13.19,43.75,1.47,0.0,100.0,14.29,100.0,29.3,51.28,36.36,11.72,24.91,32.0,0.0,2.93,0.00,0.0,88.24,10.53,91.18,1.017,2023-10-11
Carolina Hurricanes,1,40:57,1,0,0,1,2,1.0,89.38,54.21,62.24,71.79,45.42,61.25,49.82,27.84,64.15,4.4,2.93,60.0,3.99,2.68,59.78,41.03,26.37,60.87,24.91,14.65,62.96,1.47,2.93,33.33,5.88,80.0,14.65,10.26,58.82,11.72,4.4,72.73,1.47,1.47,50.0,12.5,66.67,26.37,16.12,62.07,13.19,10.26,56.25,0.0,1.47,0.0,0.0,85.71,51.28,29.3,63.64,24.91,11.72,68.0,2.93,0.0,100.00,11.76,100.0,8.82,89.47,0.983,2023-10-11
Montreal Canadiens,1,53:30,0,0,1,0,1,0.5,47.1,62.8,42.86,33.64,48.22,41.1,22.43,37.01,37.74,4.49,3.36,57.14,2.01,2.89,41.08,24.67,31.4,44.0,12.34,20.19,37.93,4.49,1.12,80.0,36.36,94.44,10.09,12.34,45.0,5.61,8.97,38.46,3.36,1.12,75.0,60.0,87.5,14.58,19.07,43.33,6.73,11.21,37.5,1.12,0.0,100.0,16.67,100.0,16.82,38.13,30.61,6.73,15.7,30.0,0.0,2.24,0.00,0.0,85.71,20.0,90.91,1.109,2023-10-11
Toronto Maple Leafs,1,53:30,1,0,0,0,2,1.0,62.8,47.1,57.14,48.22,33.64,58.9,37.01,22.43,62.26,3.36,4.49,42.86,2.89,2.01,58.92,31.4,24.67,56.0,20.19,12.34,62.07,1.12,4.49,20.0,5.56,63.64,12.34,10.09,55.0,8.97,5.61,61.54,1.12,3.36,25.0,12.5,40.0,19.07,14.58,56.67,11.21,6.73,62.5,0.0,1.12,0.0,0.0,83.33,38.13,16.82,69.39,15.7,6.73,70.0,2.24,0.0,100.00,14.29,100.0,9.09,80.0,0.891,2023-10-11
Chicago Blackhawks,1,48:00,0,1,0,0,0,0.0,50.0,81.25,38.1,37.5,52.5,41.67,22.5,35.0,39.13,1.25,3.75,25.0,2.5,4.37,36.39,28.75,45.0,38.98,12.5,21.25,37.04,1.25,3.75,25.0,10.0,82.35,10.0,16.25,38.1,5.0,12.5,28.57,1.25,1.25,50.0,25.0,90.0,18.75,28.75,39.47,7.5,8.75,46.15,0.0,2.5,0.0,0.0,71.43,21.25,37.5,36.17,10.0,12.5,44.44,0.0,0.0,-,0.0,100.0,5.56,89.29,0.948,2023-10-11
Boston Bruins,1,48:00,1,0,0,1,2,1.0,81.25,50.0,61.9,52.5,37.5,58.33,35.0,22.5,60.87,3.75,1.25,75.0,4.37,2.5,63.61,45.0,28.75,61.02,21.25,12.5,62.96,3.75,1.25,75.0,17.65,90.0,16.25,10.0,61.9,12.5,5.0,71.43,1.25,1.25,50.0,10.0,75.0,28.75,18.75,60.53,8.75,7.5,53.85,2.5,0.0,100.0,28.57,100.0,37.5,21.25,63.83,12.5,10.0,55.56,0.0,0.0,-,0.0,100.0,10.71,94.44,1.052,2023-10-11
